,Reviews
10,"




                    The media could not be loaded.
                



 The Grey mirror finish is really cool and the phone is smooth in day to day usage. Charging speed is very fast but i couldn't test 0 to 100. As an estimate it'll take 30-45 mins for a full charge (Will update after testing). Cameras are all good and in par with RM9pro+(I do have it) especially the front cam. Overall it's a very good phone in this price range.
"
11,"
Very amazingly built & decently featured smartphone...Battery last full day with proper usage & charges really fastVery smooth & accurate fingerprint scannerCamera is decent as per price...Loved it
"
12,"




                    The media could not be loaded.
                



 Build quality - Rating 7.5 : One of the light weight phones out there and has to say it's quite comfortable for one hand usage and even the material used is polycarbonate but gets the job done but doesn't matter if back cover is there . In terms of styling it's similar to oppo phone but i liked it but won't recommend gray one as it attaches fingerprints but if you are going to use back cover then it doesn't matterDisplay -  Rating 8 : Really good amoled plan and 90hz refresh rate works well wish it could have been 120hz . But the bottom chin is quite thick that is the only thing and yes there is gorilla glass 5 protection and screen guard pre applied too . But the panel on this one is the not the best out there but it's pretty decent as wellPerformance - Rating 9 :Dimensity 900 with ufs 2.2 and lppdr4x Ram gets the job done for regular day to day operations and I didn't played games so can't say but considering this soc is pretty good you can expect 50 fps stable in bgmi and cod . Still I would say this processor is good but competition is offering better so you decide . For me gaming doesn't matter and for next 2 years it can last me easily for normal.usageSoftware- 8.5 : biggest con is Android 11 based on oxygen OS or should I say future color oos 😂 but overall it's quite stable and no bugs as of now but still can't say a lot will have to wait for Android 12 to have better ideaCamera -  Rating 7.5 : 64mp is decent I was atleast expecting samsung sensor though but they provided omnivison sensor which gets the job done but to be Frank I am not into camera that much so better to check other reviews and video stability in 1080p is good and 8mp ultratwide is decent as well . Still the camera is not the best out there again I am saying this because others are offering better but OnePlus managed to give decent thingsBattery -  Rating 9: on 90hz refresh rate with 40 percent brightness and dark mode excluding gaming it gives 7 hrs of sot from 99 to 89 on wifi network and then 89 to 59 on jio network and rest remaining on wifi . So battery for normal tasks can last more than 1.5 day . Charging takes about 30 minutes to charge from 10 percent to 99 which is pretty fastSpeakers -  6: pathetic only single speaker and quality is moderate5g bands - 8 bands so it' is futuristicCall quality - Rating 10 :  it's amazing pretty loud and none of the parties ever complained about my voice that is getting mumbledSo to conclude you can buy this one if you only care for OnePlus and you want to try OnePlus for the first time . I was even getting mi 11 lite ne 5g at same price but rejected it due to miui . So for normal users and those who want a stable software without any ads or notification or bloatwares its good
"
13,"
Bought this for my mother on the day of the launch. Lightweight and slim phone. Good look and specifications. The refresh rate is amazing given the cost. Satisfied with the product so far.
"
14,"




                    The media could not be loaded.
                



 Phone is good but this phone hang in every 1 hr also phone head sar is very high 1.023 W/Kg
"
15,"




                    The media could not be loaded.
                



 Major weak points that disappoint.No stereo speakers.No RAM expansion.Struggle in low light condition.Should have RAM expansion and camera quality should be improved with new update.
"
16,"
Best Operating system after iPhone so you and ur data is safe. Those who do all their banking transactions through mobile, understand it's need. Plus 3 years security update. That's really great thing.2. Camera is good enough. Sharp and zoom is really good. See attached photo taken from 5 th floor.3. AMOLED display is amazing. Difference noticed while watching movies on Netflix. It's super.4. No DTS however phone sound is quite loud. Can take calls on loudspeaker without any issue.5. No complaint in speed. I don't play games however tried and it did not disappoint me.6. No heating issue. Heats little bit while charging and it's obvious as it's 120 W, I believe. Charges mobile to 40% in just 10-15 minutes...7. 2 yes warranty. Seems like company is preety sure, it won't brake down.Conclusion: at this cost getting best OS and happy with that. Rest are not so important for me however phone did well on all areas.Best of luck Chinese company... Till the time India doesn't develop its own effective mobile, keep earning. We will catch you soon!!
"
17,"
I got this mobile for ₹ 16999 which was an awesome deal for me. I have rated this phone based on 5 rating points.Delivery- 5/5 was superfast and exchange took place with ease and got offer of extraa ₹3000 discount.Packaging- 5/5 Packaging was awesome by amazon and Oneplus packaging is clean and very good all the documents including Red Cable Membership card got 3 months extended warranty using this.Charging-5/5 65 watt charger is already provided in the box which phone supports very nice move not like other companies. Charging cable is of good quality and charger as well.Looks- 4.5/5 Aesthetic wise its premium with glass back and curved edges and metal frame. camera bump is not very much unusual and gives decent look to phone. Inbox provided cover is of very good quality and looks very good. It feels good to hold and not feel very bulky termed as slimmest oneplus phone. Lower chin is on big side could be a bit smaller.Connectivity-5/5 Total number of 5G band supported is 7 and the phone supports VOWIFI on both sim. It supports dual 5G which I feel is future proof. Bluetooth connectivity is awesome with earbuds. It also supports dual band wifi. Its has got triple slot.O.S-4/5 Only issues is that it runs on Android 11 out of the box but with latest android security update and future update promises. OS is very smooth no lags were found. Always on display is very good. Customization is top notch.Sensor-5/5 It has got all the sensors as required including step counter.Battery-5/5 Charging from 0-100 hardly takes time with in box charger. If AOD is on and little battery consumption is on higher side with 90hz screen. I feel its good with F-amoled display.Screen-5/5 Fell in love with it in display fingerprint scanner is very good and display is bright enough at this price point better than MI phones. Display is immersive. It supports HDR10+ and comes with corning gorilla glass 5.Camera-4/5 Back camera is good with natural light and though struggles in low light.Dark mode does a good job.4K video is supported at 30fps Selfie camera is good with lot of features. No OIS is provided in both the camera. But EIS present.Calling- Its very loud and clear and no issues found.Perfomance-5/5 taking pricing point into consideration its good mid ranger chipset works well with heavy games at medium setting and normal day to day operations are carried out without any lags.GB ram is enough for daily operation.My recommendation is that if you get this phone at ₹20K the its a very good deal without any single thought go for it. However if you are a gamer and want a phone below 20K then you can go for Infinix 5G. However If you want a good camera phone at same price point of this then go for Realme 9 PRO Plus without any thought as camera is excellent for still photos but you will have to compromise with display.
"
18,"




                    The media could not be loaded.
                



 At starting 2 days it was performing good and I have given 5 rating and now I reduced it 2. Continuous hang problem is going on in phone.i need restart it at least 2 times in a day. The processor is not taking load. Even when I am writing this review the back gesture is not working.
"
19,"
Phone's display and camera not upto the mark what I've expected form oneplus it's a lower segment feel after paying 25k if i know this thing I'm gonna go with realme or mi or iq in under 16k i get same features very disappoint with display and camera quality
"
20,"
This mobile refresh rate only on paper but when u will play pubg, bgmi refresh rate will decrease and i think this mobile is only selling by advertisement .Niether processor is good nor refresh rate of display.So please don't buy it by exchange.When u return it they will cut 3000 bonus amount.
"
21,"




                    The media could not be loaded.
                



 Any thing is best but camera is good pls Don't but this product
"
22,"




                    The media could not be loaded.
                



 I don't how the plethora of "" youtubers"" missed the obvious pointers. I am upgrading from redmi note 9 pro max, thus  never had very high expectations . This is review after 3 days of usage :-1) The UI is extremely clean and works like charm!! Make sure you do go display>screen refresh rate> 90 hz2) Please make sure you add your finger prints before adding tempered glass!! Very important3) Battery charges in 30-35 minutes.4) Pubg will give consistent 56-60 fps in smooth plus extreme5) Ok now, the most important point which I pray would go be improved in future updates!! The screen jitters like shit while scrolling webpages on Google Chrome. The only solution for this is to turn on high performance mode . The path for the same is Battery>additional setting > high performance modeHope this helps!!!Would let you guys know more after using this beast for a month!
"
23,"




                    The media could not be loaded.
                



 Poor cameraLagging throughout.Worst phone ever.
"
24,"
Over heating while charging & too much heating when browsing through mobile network, even while using camera for capturing pics also phone getting too much heat, fast battery drain, face unlock not working properly, even sometimes phe getting hang while touching icons, phe heating in 1hr usage, while using Bluetooth headphones for calling the voice will be very low. So many Back drops are there. Not worthable. Its not up to the mark of one plus company. I am totally disappointed 😔
"
25,"
Pros-Good BatteryFast chargingBuild qualitySlimNFCSmooth OSCons-Processor slow, not for high end gamingLow camera qualityNot value for money
"
26,"




                    The media could not be loaded.
                



 Worst phone of my life
"
27,"
Writing the reviews after 3 days of UsageDesign: Phone's design is good looking and decent. The phone sits well in the hands but has to be used with a cover due to its glossy finish at the back. The phone comes with a cover and the screen cover as well. There is one speaker besides the charging point and there's a 3.5mm jack as well. Volume buttons are to the left side and the front camera is placed at the top left corner of the phone.Performance: Good performance. I tried gaming on this phone with high specs and found no issues, no major lags found. Yeah the phone heats up a bit after continuous usage. Continuous calls will heat the phone as well. Heating issues reported on other OnePlus devices are still being noticed here in this phone but not to thay extent, seems that OnePlus has worked on it but not to a greater extent! Apps work smoothly as far as performance is concerned. Unlocking phone is quick. Android 12 could have made this phone a perfect buy, but that's not a deal breaker either as OnePlus has promised a guaranteed 2 year Phone updates and 3 years security updates.Battery: Okayish. If you're a gamer or heavy user like viewing lot of videos etc, you'll have to charge your phone twice a day. For a Average user this phone will get 1 day enough to survive. Battery drains are worked but again not to a great extent. But that is coped up with the 65W charger which as per my real time experiments charged from 0 to 80 in 25 mins not 15 mins claimed by OnePlus. Battey improvements must be done by OnePlus further.Camera: Decent, but not impressive. 64MP is what on the papers but realme sensors work good versus this Phone. Night photos are not sharp as well. Colors are thrown by the AI but still would like to have improvements on the camera perspective. Definitely not the OnePlus benchmark cams for sure.Music, Audio, Video, Display: The speakers are not dobly ones but do the job wonderfully. Enough sound and no issues with video calls. Watching videos and graphics are good, impressed here. Phone will give you two options of 60 hz and 90 hz display rates with 90 as default and this too does the job very well. Scrolling and switching between the apps works smooth.Overall its a decent phone. The issue stands with longetivity of the Mediatek Processor and OnePlus support to this phone. As per my views if you're a gamer, would suggest not to go with this phone. If you're a normal user and charging phone twice a day is not a concern for you, go for it. If you are user having expectations from camera performance, don't go with this phone. If you're a user who wants decent performance and camera, then go for this phone.Will update my reviews ad and when I keep using this phone and find anything.
"
28,"




                    The media could not be loaded.
                


"
29,"




                    The media could not be loaded.
                



 Design look ossom, fast charger,,4500mah triple slot,4500More 5g bands, camera setup ossom
"
30,"
Pros -Fluid AMOLED type front screen 409ppi pixel density64MP Main Camera on the backside16MP Front Shooter6GB RAM MediaTek Dimensity 900 MT6877 chipset65W Super VOOC Charging128GB internal storage Oxygen OSOnePlus Nord CE 2 is a 6.43 inch FHD+ Fluid AMOLED display with a 90 Hz refresh rate HDR10+ certified..Nord CE 2 5G camera has been made smarter with powerful AI software like Nightscape and an improved Portrait Mode that lets you capture sharp, sharable shots with the tap of a button. The OnePlus Nord CE 2 boasts a rear 64 MP triple camera consisting of a 64 MP primary sensor, an 8 MP ultra-wide camera, and a 2 MP macro lens. The 64 MP main camera captures images with high levels of detail and punchy colour, even in low-light environments thanks to its large f/1.7 aperture. It has a 16MP front camera for selfies.OnePlus Nord CE 2 5G is powered by the 6nm MediaTek Dimensity 900 octa-core chipset along with support for 5G network speeds and Wi-Fi 6. The design of the MediaTek Dimensity 900 processor has been optimised for power efficiency..Its features a 65W SUPERVOOC fast charging for the 4,500mAh battery. The fast charger can take the device from 1-100 % in just 32 minutes. The smartphone also comes with intelligent software that reduces the time its battery spends at 100 % when charging overnight to improve battery health and longevity.OnePlus Nord CE 2 5G comes pre-installed with the most optimised version of OxygenOS 11, complete with an improved dark mode, new one-handed usage features, and more.OnePlus Nord CE 2 5G will receive 2 years of Android version updates and 3 years of Android security patches.
"
31,"
Very good product
"
32,"




                    The media could not be loaded.
                



 Beautiful phone
"
33,"
As a tech geek these are my experiences with this phone..1.Fingerprint scan is not smooth as compare to other low end phone also2. Due to omnivison camera, picture quality is not good in low light.. Okayish camera3. No inbuilt app for messages, dialer, recorder, notes.. All are google based apps4. MAJOR problem- It has google CALL RECORDER by default.. If you record during call ""it will prompt recording has started"" which can be heard to both caller and receiver.. I mean people use Call recorder for safety and secure purpose, but here it is opposite5. If you turn on WiFi hotspot for more than 10 15 minutes,it will start showing heating issue6. After software update, for twice my audio was not working, had to restart again7. Battery drains fast in ambient display mode..8. Did not find any difference in power saving mode aa compare to normal mode.. Battery drains in same speed in both mode..9. I mean its 2022, then why android 11?10..No stereo speakerFew pros :-Look wise its best.. Display is top notch.. Better than Oneplus CE.. 12bands 5g support.. comes with nfc..Few other issues are also there..
"
34,"
Was looking for a phone in this price range, to gift to my mom.Delivery person was very polite and courteous.My mother loved the phone.  I kind of find the phone good value for money.Dedinately recommend to go for it, if you are looking for new phone in this price range, which is feature loaded and feels amazing to use
"
35,"
Superb display cool design light weight. Fast charging go for it guys.
"
36,"
The most important impact on society and the world is the cell phone......OnePlus Nord CE 2 5G one of them. A little more than you'd expect. 65W Fast Charging.Expanda Storage love it.Capacity- 6 GB RAM + 128 GB Storage.Camera quality not bad but as per price not well. Colour also so sweet.Red Cable Pro membership from 1+Over all review it's good. Every one go for it........
"
37,"
Pros1. Very beautiful phone, handy2. Slim and lightweight3. Very smooth scrolling4. 65W fast charger 10% to 100% within 30 to 35min5. Good processor no lag till now after using one week6. Gaming is also very good7. Outdoor photos are very nice in wide angle8. Battery backup it will last up to one day9. Speaker sound is good.10. Calling sound is very clear no noise11. There were not so many app pre installed like in realme,vivo ,oppo, redmi.12. Price range is good13. Overall goodCons.1. Android 11 not 12 realme 9 pro launched with 122. Updation will go up to Android 13 only3. Indoor photos are not best4. 4k recording but not in 60fps5. No slider6. No dual speaker7. 65w supervooc charger not Wrap charger8. It says OxgenOs but looks like ColorOs
"
38,"
Bad product experience from the start.The SIM-MicroSD card slot is very confusing to operate. There’s also no instruction or label on whether SIM card slot is up, or the MicroSD card?This shows how much the product team focuses on first user experience. They should learn something from Apple.By the way, the MicroSD side is up and SIM card side is down.
"
39,"
The USB audio in oneplus phone is merged with OTG, so each time you connect your external dac( fiio k9 pro, earman tramp, chord mojo) you need to switch on the OTG.But the bug start from there once any of this device disconnects you will need to restart you DAC again and again till it is by luck detected by the OnePlus phone again.In OnePlus forum the OnePlus team seems to be proud of this ""feature"" but as a developer I do not understand why they merged the USB audio with OTG.Over all this is not the phone for any one who use USB audio regularly. Irony is oneplus stoped adding audio jacks to their phone and promoted the wireless accesories.In the end it's all about marketing and business.Never going to buy any OnePlus brand devices anymore.
"
40,"




                    The media could not be loaded.
                



 Like it
"
41,"




                    The media could not be loaded.
                



 Phone looks are relly amazing that is performance too. Display is awesome camera is uptomark . If u get deal arond 16k go for it.
"
42,"
best looking phone ever for the price .The quality they maintainedis good .We can extend ram up to 3GB.Pros:1)Looks attractive2)30W fast charging support3) video recording is amazing with best EIS available in the market.4)oneplus nord 2 CE comes with super AMOLED display with maximum of 700 nits brigthness5)Oxygen OS provides the soothing experience for daily usageCons:1)it provides 90 hz refresh rate but 120hz would have been better for the price bracket2)Speakers are not loud3)comes with Lpddr4X ram and ufs 2.2 which makes phone too slow4)No IP ratring provided5)No wireless charging support6) low light photography is too cheapRating:Performance &features : 7/10Display : 6/10Network :8/10Battery backup : 8/10Camera : 5/10Speaker : 7/10Value for money : 7/10
"
43,"
I made the switch from my Samsung M51 to the Nord CE 2. I did a lot of research before settling on this phone. I read quite a lot of reviews as well. Here's my experience so far:1. I am not a gamer and do not use phones for gaming.2. I am not a photographer and am quite happy with simple photos. I don't care about contrast or saturation.3. I use my phone mainly for banking, messaging, browsing and calls.Switching from the Samsung M51, the Nord CE 2 feels a lot smoother. I can't tell much of a difference in the display between the two. The outdoor brightness for the phone is decent. There is no bloatware installed on the phone which is fantastic (Samsung needs to learn from this!). Sure, there is no Android 12 out of the box but I don't miss it since I've never used it and Android 11 is perfectly fine. The phone will receive the Android 12 update but it might take time (I'm in no hurry). The camera is fine for my needs. It comes with a headphone jack and a charger. Charging is fast -- I went from 50% to 100% in under 25 minutes. I also like that the phone is slightly smaller than the M51 and fits well in my hand and pocket. I've not experienced any overheating issues.Overall, for the price (I got a great deal since I exchanged my phone), it's a great phone. Some people are expecting too much from this phone but if your needs are simple like mine, this is an excellent device.
"
44,"
Not up to the mark.
"
45,"
I didn't upload pics cause I forgot to take them. I am a one plus user since 2016. I bought one plus 3T when it was launched. That phone is still with me working fine. I am a true one plus fan. So my review on this phone is that it very basic.To be honest I am disappointed with the phone. I agree it's a low and budget phone but still had better expectations.Pros: great feel in hand looks premium, Great battery and charging is like awesome. Sound is loud and brightness is also good. Videos look awesome. Touch is great, processor is 👌🏻Cons: not a gaming phone you'll be disappointed with that. Camera isn't that good at all. Body is plastic, speaker location makes it not audible with texting. Video get stuck and security and update patch is still not given.If you want to buy a phone for good use and want to use it for a long time. This is okay. But this is no where near to high gaming or photo fan phone
"
46,"
This phone is not really stand in the line of oneplus series. The hardware quality is been hardly severely compromise. Phone hangs a lot from the very first day. While on call the sound quality is not so good. Phone is extremely slow. Picture quality taken by the cameras is quite pixelate despite of all the settings. Overall we have regretted buying this phone.
"
47,"




                    The media could not be loaded.
                



 Fingerprint reader is quick,Battery 🔋 life is good 👍,Camera quality not so good but a decent camera quality provide,Phone come with Media tec processor not snapdragon processor,Display is good 👍 and 90Hz vs AMOLED make smoothly but in this price segment other brands give 120Hz vs AMOLED and Samsungprovides (SAMOLED) display,Phone look good 👍,5g phone but in india 5g network provide only 8 band,Phone is lite weight and thin.No any IP ratting,Phone Charging speed is fast with 65W Oneplus charger,Reverse charge technology is also good in this Phone,All over good smartphone but in this segment much more good quality product you can take.
"
48,"
Superb smart phone coz in this phone you are getting something more than hardware specification, and that is phone usage experience!!!If you are going to be first time user to oneplus phones... then you will definitely love it!Rating time!! 👇🏻Looks : 4.6/5Build quality : 4.4/5Hardware : 4.4/5Features : 4.7/5User interface : 4.8/5Display : 4.7/5Connectivity : 4.9/5Camera : 4.5/5Battery : 4.8/5Loudspeaker : 5/5Fingerprint sensor : 4.9/5Sim slot : 5/53.5 mm jack : yesLight weight and feel : 4.9/5Preinstalled Application management : 5/5IPX5 water resistant : yesIn box silicon back cover : 5/5Gaming performance : 4.5/5 ( no lags )Entertainment experience : 5/5Daily usage experience : 5/5Overall experience : 5/5Just one thing i don't like is that Google phone application, it gives an loud warning on recording call......But leaving this a side,  device is just a perfect one! For every person...
"
49,"




                    The media could not be loaded.
                



 Camera not upto the mark but according to the price it was good..Design and lookwise it was Awesome..Charging super fast but battery backup low
"
50,"
Here are some important points that I noticed about the smartphone :1. Best Operating system after iPhone so you and ur data is safe. Those who do all their banking transactions through mobile, understand it's need. Plus 3 years security update. That's really great thing.2. Camera is good enough. Sharp and zoom is really good.3. AMOLED display is amazing. Difference noticed while watching movies on Amazon Prime, Netflix etc. It's super.4. No DTS however phone sound is quite loud. Can take calls on loudspeaker without any issue.5. No complaint in speed. I don't play games however tried and it did not disappoint me.6. No heating issue. Heats little bit while charging and it's obvious as it's 120 W, I believe. Charges mobile to 40% in just 10-15 minutes...7. 2 years warranty. Seems like company is pretty sure, it won't brake down.Conclusion: at this cost getting best OS and happy with that. Rest are not so important for me however phone did well on all areas.I am thankful to the seller for providing me the phone in best condition and I thank Amazon for free and fast delivery.
"
51,"
So many option are either missing or not user-friendly.like back button or app switching option are very hard to use.camera quality is good.little bit mobile started hanging in 2  days even have not loaded with apps.very good thing is battery charging,it's takes hardly 30 minutes to 100% charged.so 25k price is very costly.it is 15k quality mobile.overall feeling like Chinese quality mobile compare to others.
"
52,"
Totally satisfied with the phone and this is my first from one plus. Wat else u want in 25k... A neuclear bomb?🤣👍
"
53,"
Looks beautiful in blue lady ..Love it performance features slimmest and good battery pack with fast charge ..Feels good one plus ....❤️✅
"
54,"
No good battery backup
"
55,"




                    The media could not be loaded.
                



 awesome 😎 only want latest Android
"
56,"




                    The media could not be loaded.
                



 Pros:1) Support Triple Card slot 2 sim and one memory card and support dual sim 5G2) 90Hz fluid Amoled display which supports HDR 10+3) Has Indisply fingerprint scanner which is fast4) Camera quality is best supports EIS and HDR5) Supports Carrier Aggregation upto 5 Bands on LTE network6) Performance is good and has smooth UI without lag7) Body design is good and Gray Mirror colour is awesome8) Supports WiFi 69) 65W fast Charging10) Has gorilla glass 5Cons:1) 2MP macro lens could be better2) Camera supports EIS not OIS but camera quality and stabilization is good3) Doesn't support stereo speakers but sound is loud4) Battery Capacity is 4500mAH but good battery backup5) Though it has Android 11 out of box but Oxygen OS performs well6) Could have 120Hz display but 90Hz display is also smooth
"
57,"
Over all..... Happy with The ProductI choose this as my secondary phone,I looked at the market for following things1) Fast Charging 📴2) 28 hour battery life🔋3) On screen finger print👍4) light Game play🧟5) fair Dimension 📳The camera is fine 🌄but not suggestible for night photography🌒I upgraded to this phone from Samsung Galaxy C9 pro🧑‍🦼Both of them are Amoled Display💐For me,What i have recieved more from OnePlus Norde CE2 than C9 pro are1) Upgraded Software🥇2) More Optimised Apps3) Fairely Fast Charging when compared to C9 Pro🥈3) On screen finger print and facial recognition4) Better Camera🥉5) 20 hour of battery on constant Light useIt's One of the best Secondary phone for a Working ProfessionalU will be Happy not Exited..
"
58,"
Camera Quality is too poor.. Feels like taking pictures in some local brand of China mobile .. didn't expected from OnePlus Brand ..Total waste cameraplease don't buy mates this phone
"
59,"
Product was nice sometime finger sensor was not recognising I brought  this product at mar14 up to know this is the problem. In future in case there upload if they clear it was awesome. Don't expect super camera from this.
"
60,"
It's just a Android phone with OnePlus branding. It came with lots of bugs. Camera also average not like anyone can expect from a OnePlus phone.Indisplay fingerprint and face lock are not fast as other brand phones.Charging is fast, but if you use a little bit while charging the speed will reduce automatically to 50watts. Only charging while phone switched off will give you proper speed.I have attached one screenshot, see in that screenshot it is showing in notification that charging is complete but in the top battery indicator it is showing 82%. Like this many other bugs are there. Hope OnePlus will eliminate all such bugs in next update as it comes with a old Android version 11 and latest is Android 12. It's just one weeks of usage and there's a lot of issues don't know where to report.Thanks for reading. This is my honest review on this device.
"
61,"
Reached out to customer service but i will have to wait 2 more days before a technician visits and checks. Though i clearly showed that the phone is not starting and also the reset did not work and the phone is still not able to boot. Great.Edit: Replaced but delivery executive told this is the most returned product. So definitely there are issues. Lets see till when does this replacement works. First ever return in around 5-8 Phone from different company. One plus needs to step up or its same as getting any vivo/oppo/mi. Increasing couple of stars.Hail Apple! #makeappleinindia
"
62,"
1. Camera is outstanding. Macro,wide angle and normal. All are up to the mark.2. With 65W super vooc charger in 20 mins charge goes from 43 to 100.3. But battery life is low. I was just editing a normal video and charge went from 100 to 84 within an hour.4. Heating up issues not severe.5. Use a phone case from the very first day as there will fall quite a lot of fingerprints on the phone back6. Liked the rear camera placement and looks of the phone.
"
63,
64,"
Camera is not good at all. Alot of bugs browser does not seem to be functioning correctly.Touch is too sentitive. Does not look like 64 mexapixel photo battery back up not good.. does not charge in 30 mins .it takes more than an hour. Camera looks awful it's too big .To sum it up I have wasted my money
"
65,"




                    The media could not be loaded.
                



 The below mentioned people are from Amazon call centre team.Shubhangi creating false call log, arranged technical team person visit by her but I not received any details of technical team person and technical team person was not visited.After that I spoke with Byonkesh, Christopher and shriniwasan but the are not interested to resolve my phone issues. They just transferred call from one department to another, still not get resolution.Issues: 1) sim ejector tool missing2) phone operating automatically without touching3) phone not getting touch4) unable to restart phone.5) apps opening automatically without touching6) Phone goes on flight mode without touching.
"
66,"
Not just the fast charging that's impressive the battery backup is impressive too! The camera does so good ' the rear camera  has an auto HDR glitch  which i have to turn off everysingle time ! The selfie camera is just fantastic! My device doesn't lag not even a bit' and the features it has everything everysingle features for which OnePlus is known for but yea it misses the alert slider . The screen is well lit iand  the software UI it's an add-on to the beautiful screen .I get good ok network speed on this one . I had a hard time on my past device ...This device is really worth purchase
"
